unix_time,temperature,humidity,pressure,gas_resistance
1684402006,30.15,46.111,995.13,1241891.0
1684402008,30.16,46.256,995.05,1236162.0
1684402010,30.17,46.256,995.13,1243043.0
1684402012,30.18,46.256,995.01,1241891.0
1684402014,30.19,46.256,995.03,1244197.0
1684402016,30.20,46.256,995.05,1244197.0
1684402019,30.21,46.256,995.05,1237304.0
1684402021,30.21,46.256,995.03,1247672.0
1684402023,30.23,46.256,995.01,1235023.0
1684402025,30.24,46.256,995.03,1240741.0
1684402027,30.24,46.256,995.03,1245353.0
1684402030,30.25,46.256,995.03,1247672.0
1684402032,30.25,46.256,995.03,1235023.0
1684402034,30.25,46.256,995.01,1247672.0
1684402036,30.25,46.256,995.01,1246512.0
1684402038,30.25,46.256,995.01,1236162.0
1684402041,30.25,46.622,995.13,1244197.0
1684402043,30.26,47.181,995.15,1243043.0
1684402045,30.26,47.286,995.13,1246512.0
1684402047,30.27,47.141,995.05,1248835.0
1684402049,30.27,46.937,995.13,1237304.0
1684402051,30.27,46.703,995.01,1237304.0
1684402054,30.27,46.518,995.13,1245353.0
1684402056,30.27,46.345,995.13,1252336.0
1684402058,30.27,46.223,995.05,1244197.0
1684402060,30.26,46.116,995.05,1241891.0
1684402062,30.26,46.116,995.05,1243043.0
1684402065,30.26,45.961,995.15,1251167.0
1684402067,30.25,45.961,995.13,1241891.0
1684402069,30.25,45.836,995.13,1245353.0
1684402071,30.25,45.836,995.05,1244197.0
1684402073,30.24,45.836,995.13,1241891.0
1684402076,30.23,45.836,995.15,1252336.0
1684402078,30.23,45.734,995.15,1254682.0
1684402080,30.22,45.734,995.03,1254682.0
1684402082,30.22,45.734,995.15,1246512.0
1684402084,30.21,45.734,995.15,1245353.0
1684402087,30.22,45.734,995.15,1246512.0
1684402089,30.21,45.734,995.05,1252336.0
1684402091,30.21,45.734,995.05,1246512.0
1684402093,30.21,45.734,995.13,1248835.0
1684402095,30.20,45.734,995.03,1248835.0
1684402098,30.20,45.734,995.05,1252336.0
1684402100,30.20,45.734,995.05,1247672.0
1684402102,30.21,45.734,995.15,1248835.0
1684402104,30.21,45.734,995.13,1250000.0
1684402106,30.21,45.734,995.05,1251167.0
1684402108,30.21,45.734,995.05,1251167.0
1684402111,30.21,45.734,995.15,1244197.0
1684402113,30.21,45.633,995.13,1251167.0
1684402115,30.21,45.633,995.17,1248835.0
1684402117,30.21,45.633,995.05,1251167.0
1684402119,30.21,45.633,995.13,1248835.0
1684402122,30.21,45.633,995.03,1253508.0
1684402124,30.20,45.633,995.05,1251167.0
1684402126,30.21,45.633,995.13,1258216.0
1684402128,30.20,45.633,995.03,1253508.0
1684402130,30.20,45.633,995.13,1253508.0
1684402133,30.20,45.633,995.05,1255858.0
1684402135,30.20,45.633,995.15,1259399.0
1684402137,30.20,45.633,995.03,1261770.0
1684402139,30.19,45.633,995.05,1254682.0
1684402141,30.20,45.633,995.13,1250000.0
1684402144,30.20,45.633,995.13,1259399.0
1684402146,30.19,45.633,995.05,1250000.0
1684402148,30.20,45.633,995.13,1253508.0
1684402150,30.19,45.633,995.05,1259399.0
1684402152,30.19,45.633,995.05,1257036.0
1684402155,30.19,45.633,995.13,1248835.0
1684402157,30.19,45.633,995.15,1257036.0
1684402159,30.19,45.633,995.05,1255858.0
1684402161,30.19,45.633,995.13,1247672.0
1684402163,30.19,45.633,995.13,1258216.0
1684402165,30.19,45.633,995.13,1251167.0
1684402168,30.20,45.633,995.13,1255858.0
1684402170,30.19,45.633,995.13,1262959.0
1684402172,30.19,45.633,995.05,1262959.0
1684402174,30.19,45.633,995.13,1265345.0
1684402176,30.19,45.633,995.05,1267739.0
1684402179,30.19,45.633,995.15,1253508.0
1684402181,30.19,45.633,995.13,1262959.0
1684402183,30.19,45.633,995.05,1259399.0
1684402185,30.19,45.633,995.13,1265345.0
1684402187,30.19,45.633,995.03,1254682.0
1684402190,30.20,45.633,995.15,1255858.0
1684402192,30.21,45.633,995.03,1253508.0
1684402194,30.21,45.633,995.03,1260583.0
1684402196,30.21,45.633,995.15,1252336.0
1684402198,30.21,45.530,995.05,1254682.0
1684402201,30.22,45.530,995.13,1253508.0
1684402203,30.22,45.530,995.13,1258216.0
1684402205,30.22,45.530,995.01,1258216.0
1684402207,30.23,45.530,995.03,1259399.0
1684402209,30.23,45.530,995.13,1254682.0
