unix_time,temperature,humidity,pressure,gas_resistance
1684468441,30.18,54.952,999.82,1149228.0
1684468442,30.18,55.069,999.78,1145299.0
1684468445,30.18,55.069,999.80,1148243.0
1684468447,30.18,55.069,999.80,1149228.0
1684468449,30.19,55.069,999.80,1155172.0
1684468451,30.19,55.069,999.78,1149228.0
1684468453,30.19,55.069,999.80,1145299.0
1684468456,30.19,55.198,999.80,1144321.0
1684468458,30.19,55.198,999.80,1144321.0
1684468460,30.19,55.198,999.84,1140426.0
1684468462,30.19,55.198,999.82,1143345.0
1684468464,30.19,55.198,999.82,1148243.0
1684468466,30.19,55.198,999.82,1146279.0
1684468469,30.19,55.198,999.80,1142370.0
1684468471,30.19,55.198,999.80,1146279.0
1684468473,30.19,55.313,999.80,1143345.0
1684468475,30.20,55.313,999.80,1134632.0
1684468477,30.20,55.313,999.78,1143345.0
1684468480,30.20,55.313,999.82,1146279.0
1684468482,30.20,55.313,999.78,1143345.0
1684468484,30.21,55.313,999.78,1143345.0
1684468486,30.21,55.313,999.84,1145299.0
1684468488,30.21,55.313,999.80,1140426.0
1684468491,30.21,55.313,999.78,1138488.0
1684468493,30.21,55.418,999.78,1140426.0
1684468495,30.21,55.418,999.76,1135593.0
1684468497,30.21,55.418,999.78,1146279.0
1684468499,30.21,55.418,999.82,1141397.0
1684468502,30.21,55.418,999.80,1148243.0
1684468504,30.22,55.418,999.76,1140426.0
1684468506,30.22,55.418,999.78,1150215.0
1684468508,30.22,55.418,999.80,1140426.0
1684468510,30.22,55.418,999.76,1143345.0
1684468513,30.22,55.418,999.82,1140426.0
1684468515,30.22,55.418,999.78,1131757.0
1684468517,30.23,55.525,999.76,1136556.0
1684468519,30.22,55.525,999.78,1135593.0
1684468521,30.23,55.525,999.74,1133672.0
1684468523,30.23,55.525,999.76,1139456.0
1684468526,30.23,55.525,999.74,1140426.0
1684468528,30.23,55.525,999.76,1135593.0
1684468530,30.23,55.525,999.82,1140426.0
1684468532,30.23,55.525,999.80,1142370.0
1684468534,30.23,55.525,999.78,1136556.0
1684468537,30.24,55.525,999.76,1128896.0
1684468539,30.24,55.525,999.76,1134632.0
1684468541,30.24,55.525,999.74,1134632.0
1684468543,30.24,55.525,999.74,1129848.0
1684468545,30.24,55.525,999.76,1134632.0
1684468548,30.24,55.525,999.76,1132713.0
1684468550,30.25,55.525,999.74,1135593.0
1684468552,30.24,55.525,999.74,1129848.0
1684468554,30.25,55.525,999.74,1135593.0
1684468556,30.25,55.525,999.78,1136556.0
1684468559,30.25,55.525,999.72,1133672.0
1684468561,30.25,55.636,999.72,1128896.0
1684468563,30.25,55.636,999.76,1130802.0
1684468565,30.25,55.636,999.76,1132713.0
1684468567,30.25,55.636,999.78,1136556.0
1684468570,30.26,55.636,999.76,1126997.0
1684468572,30.26,55.636,999.76,1135593.0
1684468574,30.26,55.636,999.74,1130802.0
1684468576,30.26,55.636,999.74,1126997.0
1684468578,30.26,55.636,999.74,1134632.0
1684468580,30.26,55.636,999.72,1126997.0
1684468583,30.26,55.636,999.74,1134632.0
1684468585,30.26,55.636,999.68,1136556.0
1684468587,30.27,55.636,999.70,1140426.0
1684468589,30.26,55.636,999.70,1126997.0
1684468591,30.27,55.636,999.72,1133672.0
1684468594,30.27,55.636,999.68,1131757.0
1684468596,30.27,55.636,999.72,1127946.0
1684468598,30.27,55.636,999.72,1125105.0
1684468600,30.27,55.636,999.74,1126997.0
1684468602,30.27,55.636,999.70,1128896.0
1684468605,30.27,55.636,999.72,1128896.0
1684468607,30.27,55.636,999.74,1128896.0
1684468609,30.28,55.636,999.72,1122278.0
1684468611,30.28,55.636,999.70,1127946.0
1684468613,30.27,55.636,999.70,1135593.0
1684468616,30.28,55.636,999.68,1129848.0
1684468618,30.28,55.636,999.72,1124161.0
1684468620,30.28,55.636,999.70,1126997.0
1684468622,30.28,55.636,999.70,1129848.0
1684468624,30.29,55.636,999.68,1129848.0
1684468627,30.29,55.636,999.70,1123219.0
1684468629,30.29,55.636,999.72,1123219.0
1684468631,30.29,55.636,999.72,1122278.0
1684468633,30.29,55.636,999.72,1123219.0
1684468635,30.29,55.636,999.68,1125105.0
1684468637,30.29,55.636,999.70,1126050.0
1684468640,30.29,55.636,999.72,1117598.0
1684468642,30.29,55.636,999.70,1134632.0
1684468644,30.30,55.636,999.72,1126050.0
1684468646,30.29,55.636,999.70,1126997.0
1684468648,30.29,55.636,999.68,1126997.0
1684468651,30.30,55.636,999.68,1131757.0
1684468653,30.30,55.636,999.66,1126050.0
1684468655,30.30,55.636,999.64,1128896.0
1684468657,30.30,55.636,999.68,1125105.0
1684468659,30.30,55.636,999.66,1121339.0
1684468662,30.30,55.636,999.66,1126997.0
1684468664,30.30,55.636,999.68,1132713.0
1684468666,30.30,55.636,999.64,1119465.0
1684468668,30.30,55.636,999.66,1126997.0
1684468670,30.31,55.636,999.68,1128896.0
1684468673,30.31,55.636,999.70,1122278.0
1684468675,30.31,55.636,999.64,1124161.0
1684468677,30.31,55.636,999.72,1113882.0
1684468679,30.31,55.636,999.70,1121339.0
1684468681,30.31,55.636,999.72,1121339.0
1684468684,30.32,55.636,999.70,1128896.0
1684468686,30.31,55.636,999.66,1126997.0
1684468688,30.31,55.636,999.68,1125105.0
1684468690,30.31,55.636,999.68,1126050.0
1684468692,30.31,55.636,999.68,1126997.0
1684468694,30.32,55.636,999.68,1119465.0
1684468697,30.32,55.636,999.66,1118531.0
1684468699,30.32,55.636,999.68,1114809.0
1684468701,30.33,55.636,999.70,1124161.0
1684468703,30.32,55.636,999.66,1117598.0
1684468705,30.32,55.636,999.68,1122278.0
1684468708,30.32,55.636,999.66,1133672.0
1684468710,30.33,55.636,999.68,1120401.0
1684468712,30.33,55.636,999.72,1119465.0
1684468714,30.33,55.636,999.68,1125105.0
1684468716,30.33,55.636,999.68,1125105.0
1684468719,30.33,55.636,999.68,1123219.0
1684468721,30.33,55.636,999.70,1118531.0
1684468723,30.33,55.636,999.70,1120401.0
1684468725,30.33,55.636,999.68,1118531.0
1684468727,30.34,55.636,999.70,1124161.0
1684468730,30.34,55.636,999.70,1132713.0
1684468732,30.33,55.636,999.68,1122278.0
1684468734,30.34,55.636,999.68,1126050.0
1684468736,30.34,55.636,999.72,1114809.0
1684468738,30.34,55.636,999.68,1117598.0
1684468741,30.34,55.636,999.64,1120401.0
1684468743,30.34,55.636,999.66,1116667.0
1684468745,30.34,55.636,999.70,1119465.0
1684468747,30.34,55.636,999.68,1112957.0
1684468749,30.34,55.636,999.66,1126050.0
1684468751,30.34,55.636,999.68,1119465.0
1684468754,30.35,55.636,999.66,1119465.0
1684468756,30.35,55.636,999.62,1112033.0
1684468758,30.35,55.636,999.64,1116667.0
1684468760,30.35,55.636,999.68,1124161.0
1684468762,30.35,55.636,999.66,1124161.0
1684468765,30.35,55.636,999.62,1119465.0
1684468767,30.35,55.636,999.66,1114809.0
1684468769,30.36,55.636,999.64,1124161.0
1684468771,30.35,55.636,999.64,1118531.0
1684468773,30.36,55.636,999.62,1124161.0
1684468776,30.36,55.636,999.64,1126050.0
1684468778,30.36,55.636,999.62,1124161.0
1684468780,30.36,55.636,999.66,1119465.0
1684468782,30.36,55.735,999.62,1117598.0
1684468784,30.36,55.735,999.62,1116667.0
1684468787,30.36,55.735,999.64,1117598.0
1684468789,30.36,55.735,999.62,1118531.0
1684468791,30.37,55.735,999.66,1115737.0
1684468793,30.37,55.735,999.66,1123219.0
1684468795,30.37,55.735,999.64,1117598.0
1684468798,30.37,55.735,999.64,1115737.0
1684468800,30.37,55.735,999.60,1121339.0
1684468802,30.37,55.735,999.66,1117598.0
1684468804,30.38,55.735,999.60,1112957.0
1684468806,30.37,55.735,999.62,1115737.0
1684468809,30.37,55.735,999.66,1115737.0
1684468811,30.38,55.735,999.62,1112033.0
1684468813,30.37,55.735,999.60,1115737.0
1684468815,30.38,55.735,999.64,1114809.0
1684468817,30.38,55.735,999.66,1121339.0
1684468819,30.38,55.735,999.60,1121339.0
1684468822,30.38,55.735,999.60,1119465.0
1684468824,30.38,55.735,999.62,1115737.0
1684468826,30.38,55.735,999.62,1112033.0
1684468828,30.38,55.735,999.60,1119465.0
1684468830,30.39,55.735,999.66,1118531.0
1684468833,30.39,55.735,999.60,1112957.0
1684468835,30.39,55.735,999.62,1117598.0
1684468837,30.39,55.735,999.62,1123219.0
1684468839,30.39,55.735,999.66,1121339.0
1684468841,30.39,55.735,999.64,1119465.0
1684468844,30.39,55.735,999.62,1112033.0
1684468846,30.39,55.735,999.62,1116667.0
1684468848,30.39,55.735,999.64,1113882.0
1684468850,30.39,55.735,999.62,1119465.0
1684468852,30.39,55.735,999.58,1120401.0
1684468855,30.39,55.735,999.62,1118531.0
1684468857,30.40,55.735,999.62,1114809.0
1684468859,30.40,55.735,999.60,1112957.0
1684468861,30.40,55.735,999.60,1113882.0
1684468863,30.40,55.735,999.60,1118531.0
1684468866,30.40,55.735,999.58,1122278.0
1684468868,30.41,55.735,999.57,1112033.0
1684468870,30.40,55.735,999.60,1113882.0
1684468872,30.41,55.735,999.60,1116667.0
1684468874,30.41,55.735,999.60,1113882.0
1684468876,30.41,55.735,999.58,1115737.0
1684468879,30.41,55.735,999.60,1114809.0
1684468881,30.41,55.735,999.60,1113882.0
1684468883,30.41,55.735,999.62,1112033.0
1684468885,30.41,55.735,999.57,1114809.0
1684468887,30.41,55.735,999.60,1114809.0
1684468890,30.41,55.735,999.60,1113882.0
1684468892,30.41,55.735,999.60,1123219.0
1684468894,30.41,55.735,999.60,1118531.0
1684468896,30.42,55.735,999.60,1119465.0
1684468898,30.42,55.735,999.60,1113882.0
1684468901,30.42,55.735,999.62,1118531.0
1684468903,30.42,55.735,999.64,1113882.0
1684468905,30.42,55.735,999.60,1112033.0
1684468907,30.42,55.735,999.57,1123219.0
1684468909,30.42,55.735,999.57,1115737.0
